0.15	0.41	0.80	1.62	1.11	-0.76	-1.59	1.10	0.13	0.51
1.37	-0.98	-0.40	-0.11	0.75	1.63	1.30	0.50	0.80	-1.90
-1.63	-1.34	1.01	0.43	-0.48	0.09	-0.37	1.28	0.64	0.73
-1.33	1.16	1.88	-1.22	1.24	1.47	0.06	0.25	0.38	-1.54
0.45	0.79	-0.08	1.77	1.22	0.47	0.16	0.23	2.37	0.54
0.61	-1.14	-1.00	0.56	-0.12	-0.70	-0.44	-0.15	-0.06	1.27
0.97	-1.33	0.43	0.26	-0.32	-1.46	-0.62	-1.21	0.51	0.29
0.16	1.23	-1.42	-0.54	-0.28	0.92	0.47	0.07	0.65	-2.42
-0.29	0.60	-0.57	0.75	-0.54	-0.40	-0.53	0.87	-0.29	-1.05
0.38	-0.18	-0.43	2.12	-0.06	-0.51	0.28	0.12	-0.53	0.00
